"","Estimate","Std. Error","z value","Pr(>|z|)","comparison"
"GO:0006468_motif1169",0.058930469958384,0.478272782715094,0.123215186161845,0.90193670038443,"GO:0006468_motif1169"
"GO:0006508_motif1169",-0.852654676388828,0.289656678823681,-2.94367345455844,0.00324342016633139,"GO:0006508_motif1169"
"GO:0006629_motif1169",-0.864983552760361,0.456662088013547,-1.8941435592409,0.0582059572906814,"GO:0006629_motif1169"
"GO:0006665_motif1169",-0.475262793190023,0.528189912956943,-0.899795284861422,0.368229204087047,"GO:0006665_motif1169"
"GO:0006687_motif1169",-0.62116632216367,0.512060387278043,-1.21307239848331,0.2251021417459,"GO:0006687_motif1169"
"GO:0006810_motif1169",-0.446518005719879,0.390130306116573,-1.14453555317094,0.252401602126147,"GO:0006810_motif1169"
"GO:0006869_motif1169",-0.887865799579436,0.486114400990396,-1.82645442671627,0.06778183997899,"GO:0006869_motif1169"
"GO:0006888_motif1169",-0.475262793189905,0.528189912956927,-0.899795284861227,0.368229204087151,"GO:0006888_motif1169"
"GO:0006915_motif1169",0.923928521322396,0.293880403404154,3.14389292589809,0.00166716429135375,"GO:0006915_motif1169"
"GO:0006953_motif1169",1.12236414010314,0.291243868692001,3.8536919082409,0.000116349988094472,"GO:0006953_motif1169"
"GO:0006955_motif1169",-1.37186799951531,0.48560091773853,-2.82509350662716,0.00472668199956917,"GO:0006955_motif1169"
"GO:0006959_motif1169",-0.758307138284827,0.538049919779673,-1.40936205063528,0.158728139420175,"GO:0006959_motif1169"
"GO:0006968_motif1169",0.718999587237624,0.328498949437795,2.18874242510713,0.0286155665364427,"GO:0006968_motif1169"
"GO:0007155_motif1169",0.0786447295089048,0.246182095973322,0.319457551118694,0.749379575594651,"GO:0007155_motif1169"
"GO:0007157_motif1169",0.850791697343182,0.340242552514323,2.50054465867366,0.0124002497643609,"GO:0007157_motif1169"
"GO:0007159_motif1169",0.91553547652029,0.281267645196147,3.25503303404068,0.00113379177272844,"GO:0007159_motif1169"
"GO:0007160_motif1169",0.516430455273741,0.433506448462041,1.19128667429491,0.23354106340087,"GO:0007160_motif1169"
"GO:0007165_motif1169",0.244084164754662,0.209810649925374,1.16335450484271,0.244685700042473,"GO:0007165_motif1169"
"GO:0007166_motif1169",-0.654587287877054,0.326484909304718,-2.00495419304697,0.0449679443065852,"GO:0007166_motif1169"
"GO:0007169_motif1169",-0.21841577982099,0.446825135240485,-0.488817129106752,0.624971169969582,"GO:0007169_motif1169"
"GO:0007186_motif1169",-1.09329515922938,0.438739774535963,-2.49189889470521,0.0127062200911506,"GO:0007186_motif1169"
"GO:0007193_motif1169",-0.475262793190021,0.528189912956943,-0.899795284861418,0.368229204087049,"GO:0007193_motif1169"
"GO:0007229_motif1169",1.45678859268424,0.392378054768597,3.71271679182815,0.000205046291758963,"GO:0007229_motif1169"
"GO:0007267_motif1169",-0.751863619139822,0.41737526567961,-1.80140914176015,0.071638416316473,"GO:0007267_motif1169"
"GO:0007275_motif1169",-0.193912044068665,0.430315940922949,-0.450627145377788,0.652258298773025,"GO:0007275_motif1169"
"GO:0007566_motif1169",1.1886377991437,0.342105407767612,3.47447825189343,0.000511847853915201,"GO:0007566_motif1169"
"GO:0007568_motif1169",1.26569469228385,0.348986570060706,3.62677191865489,0.000286986579012849,"GO:0007568_motif1169"
"GO:0007584_motif1169",1.61733952614676,0.371910867867726,4.34872886457832,1.36928874238002e-05,"GO:0007584_motif1169"
"GO:0007588_motif1169",0.455697179141126,0.439688862959879,1.03640828215089,0.300011708146974,"GO:0007588_motif1169"
"GO:0007596_motif1169",-0.492087769078029,0.278670703830418,-1.7658396175634,0.0774227598227109,"GO:0007596_motif1169"
"GO:0007597_motif1169",-0.496981715801575,0.463660778859314,-1.07186490309626,0.283780716219298,"GO:0007597_motif1169"
"GO:0007599_motif1169",-0.365347945014118,0.312666971910308,-1.16848908850827,0.242609538064256,"GO:0007599_motif1169"
"GO:0008015_motif1169",1.51441959723362,0.371709170726388,4.07420563306029,4.6171672378937e-05,"GO:0008015_motif1169"
"GO:0008047_motif1169",-0.475262793190022,0.528189912956944,-0.89979528486142,0.368229204087048,"GO:0008047_motif1169"
"GO:0008201_motif1169",-2.17946404968849,0.770993339129342,-2.82682604255659,0.0047011858698066,"GO:0008201_motif1169"
"GO:0008233_motif1169",-0.813995972228906,0.291765665174216,-2.78989637709036,0.00527249134112069,"GO:0008233_motif1169"
"GO:0008236_motif1169",-0.80673205237312,0.337283338461304,-2.3918526662285,0.0167635702123341,"GO:0008236_motif1169"
"GO:0008270_motif1169",-1.51084088076534,0.583753022954273,-2.58815084694421,0.00964927142847024,"GO:0008270_motif1169"
"GO:0008283_motif1169",0.954974315970314,0.278707195234183,3.42644299214413,0.000611542116773511,"GO:0008283_motif1169"
"GO:0008284_motif1169",0.571091367182837,0.204254331861399,2.7959816664763,0.00517423355339478,"GO:0008284_motif1169"
"GO:0008285_motif1169",0.00704931400051374,0.391477308730509,0.0180069542813948,0.985633305597061,"GO:0008285_motif1169"
"GO:0008289_motif1169",-0.887865799579436,0.486114400990401,-1.82645442671625,0.0677818399789926,"GO:0008289_motif1169"
"GO:0008305_motif1169",1.45678859268424,0.392378054768597,3.71271679182816,0.00020504629175896,"GO:0008305_motif1169"
"GO:0009651_motif1169",1.59453416893978,0.37918163734708,4.20519880681943,2.60852760427127e-05,"GO:0009651_motif1169"
"GO:0009897_motif1169",0.0763489491749911,0.25210235604208,0.302849010908281,0.762004930904292,"GO:0009897_motif1169"
"GO:0009986_motif1169",0.198419007485213,0.160769622470987,1.23418220703367,0.21713501607184,"GO:0009986_motif1169"
"GO:0010008_motif1169",-0.426090107889751,0.364865192732356,-1.1678014685339,0.242886855625816,"GO:0010008_motif1169"
"GO:0010469_motif1169",0.1799058073987,0.216926243650944,0.829340905788174,0.406911530168686,"GO:0010469_motif1169"
"GO:0010506_motif1169",-0.475262793190021,0.528189912956943,-0.899795284861419,0.368229204087049,"GO:0010506_motif1169"
"GO:0010523_motif1169",1.68161740479813,0.387385779480799,4.3409373649491,1.41876165418115e-05,"GO:0010523_motif1169"
