InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
P21580	Q9Y6K9	mint, intact, Biogrid, Hprd	1	1	6	11389905, 21988832, 23032186, 10755617, 22099304, 26802121
P21580	P21580	mint, intact, Biogrid, Hprd	1	1	8	11389905, 25416956, unassigned1304, 8692885, 8797804, 24008839, 25165885, 15258597
P21580	Q15025	mint, intact, Biogrid, Hprd	1	1	9	11389905, 21988832, 25416956, unassigned1304, 10385526, 18029035, 12586352, 25165885, 12965196
P21580	Q8NFZ5	mint, intact, Biogrid, Hprd	1	1	6	11389905, 15169888, 11390377, 21266526, 18029035, 10385526
Q86VP1	P21580	mint, intact, Biogrid, Hprd	1	1	5	11389905, unassigned1304, 10435631, 23018911, 28514442
Q9Y4K3	O43318	mint, intact, Biogrid, Hprd	1	1	27	10094049, 12496252, 11518704, 19820695, 14633987, 10882101, 11259596, 10921914, 19112497, 18758450, 16543409, 19675569, 12609980, 19843958, 12242293, 22851693, 19232515, 19521662, 22643835, 16517750, 24434549, 22924441, 21822258, 25963657, 26038599, 27501752, 27249171
Q9Y4K3	Q15750	mint, intact, Biogrid, Hprd	2	2	4	10094049, 11518704, 10882101, 19112497
O43318	Q99558	mint, Biogrid, Hprd	2	2	2	10094049, 10807933
O15111	Q99558	mint, intact, Dip, Biogrid, Hprd	1	1	14	10094049, 14743216, 16498412, 16286467, 9520446, 25241761, 9244310, 10887201, 11278268, 17563756, 20348096, 15208311, 15084608, 28514442
O15111	O43318	mint, intact, Biogrid, Hprd	2	2	6	10094049, 25241761, 10187861, 9742107, 20200282, 16893890
O43318	O95163	mint, Biogrid, Hprd	2	2	1	10094049
P31946	P19634	mint, Hprd	1	1	2	11279064, 16717153
Q14118	Q14118	mint, Hprd	1	1	3	11423118, 11502221, 8205617
Q92993	P10275	mint, Dip, Biogrid, Hprd	1	1	3	10364196, 11994312, 11591700
P10275	P10275	mint, intact, Biogrid, Hprd	1	1	13	9417052, 23518348, 20478527, 15525515, 15062556, 15256534, 11504717, 12682292, 23172223, 25908644, 9111344, 14966121, 15305378
O14727	P0DMV8	mint, Hprd	2	2	1	10934467
O14727	P0DMV9	mint, Hprd	2	2	1	10934467
O14727	P55211	mint, intact, Dip, Biogrid, Hprd	1	1	15	9390557, 10206961, 9922454, 19494828, 21827945, 10376594, 15262985, 11113115, 9539746, 9488720, 11242052, 19698783, 20829884, 27476169, 9837928
P29353	P07948	mint, Biogrid, Hprd	1	1	2	7516469, 7650013
Q07666	P06241	mint, intact, Biogrid, Hprd	1	1	7	7516469, 9045636, 22641034, 11960376, 16888650, 22745667, 15190072
